"sector","product","marketingYear","month","partner","Einheit","Wert"
"Milk And Milk Products","Fresh milk","2021",4,"Switzerland","tons",2.266
"Milk And Milk Products","Fresh milk","2021",5,"Switzerland","euroValue",5265
"Milk And Milk Products","Fresh milk","2021",5,"Switzerland","tons",2.513
"Milk And Milk Products","Fresh milk","2021",6,"Switzerland","euroValue",6082
"Milk And Milk Products","Fresh milk","2021",6,"Switzerland","tons",2.321
"Milk And Milk Products","Fresh milk","2021",7,"Switzerland","euroValue",4679
"Milk And Milk Products","Fresh milk","2021",7,"Switzerland","tons",1.137
"Milk And Milk Products","Fresh milk","2021",8,"Switzerland","euroValue",7396
"Milk And Milk Products","Fresh milk","2021",8,"Switzerland","tons",2.775
"Milk And Milk Products","Fresh milk","2021",9,"Switzerland","euroValue",17492
"Milk And Milk Products","Fresh milk","2021",9,"Switzerland","tons",6.627
"Milk And Milk Products","Fresh milk","2021",10,"Switzerland","euroValue",4817
"Milk And Milk Products","Fresh milk","2021",10,"Switzerland","tons",2.276
"Milk And Milk Products","Fresh milk","2021",11,"Switzerland","euroValue",7086
"Milk And Milk Products","Fresh milk","2021",11,"Switzerland","tons",2.867
"Milk And Milk Products","Fresh milk","2021",12,"Switzerland","euroValue",1547
"Milk And Milk Products","Fresh milk","2021",12,"Switzerland","tons",1.293
"Milk And Milk Products","Fresh milk","2022",1,"Switzerland","euroValue",1205
"Milk And Milk Products","Fresh milk","2022",1,"Switzerland","tons",0.962
"Milk And Milk Products","Fresh milk","2022",2,"Switzerland","euroValue",13720
"Milk And Milk Products","Fresh milk","2022",2,"Switzerland","tons",4.845
"Milk And Milk Products","Fresh milk","2022",3,"Switzerland","euroValue",1287
"Milk And Milk Products","Fresh milk","2022",3,"Switzerland","tons",1.214
"Milk And Milk Products","Fresh milk","2022",4,"Switzerland","euroValue",1370
"Milk And Milk Products","Fresh milk","2022",4,"Switzerland","tons",1.252
"Milk And Milk Products","Fresh milk","2022",5,"Switzerland","euroValue",957
"Milk And Milk Products","Fresh milk","2022",5,"Switzerland","tons",0.838
